Title,Rank,Artist,URL,Trend,Streams,Streams increase since last release,Weeks in top 200,Consecutive weeks in top 200,Best rank,Prior rank,Rank change,Up or down,Song rank in next top 200 release,Streams in next release,In next release
Meet Me At Our Spot,56,"THE ANXIETY, WILLOW, Tyler Cole",https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,MOVE_UP,"417,361","20,220",14,14,56,73,-17,1,51,465641,1
Jail pt 2,80,Kanye West,https://open.spotify.com/track/7f1w2rZoIf7g56McEUTh5W,MOVE_DOWN,"333,121","-64,902",6,6,22,71,9,-1,88,314328,1
New Again,89,Kanye West,https://open.spotify.com/track/2GPTiPR5db727wu1tFvFt4,MOVE_DOWN,"314,401","-53,522",8,8,21,81,8,-1,98,298000,1
Outside (Better Days),118,"Blueface, Og Bobby Billions",https://open.spotify.com/track/26BMsCXJpD7eYtP7ufhApC,MOVE_UP,"262,695","-18,437",54,16,34,122,-4,1,123,262494,1
Lucid Dreams,127,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,MOVE_UP,"255,139","-12,260",1000,1000,1,133,-6,1,128,260481,1
The Box,185,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,MOVE_UP,"205,122","-15,444",637,2,1,194,-9,1,197,204083,1
Fountains (with Tems),29,Drake,https://open.spotify.com/track/08XWh5c0BMyD1nKVxxl91z,MOVE_DOWN,"727,100","-153,160",4,4,18,27,2,-1,31,707884,1
Jonah,52,Kanye West,https://open.spotify.com/track/3gWzTnziivUYzqXtnvgN8q,MOVE_DOWN,"427,167","-29,273",9,9,8,51,1,-1,53,434556,1
Volví,81,"Aventura, Bad Bunny",https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi,MOVE_DOWN,"333,761","-6,190",35,35,5,77,4,-1,83,342147,1
Martin & Gina,112,Polo G,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,MOVE_UP,"272,685","6,522",401,255,21,115,-3,1,116,281480,1
I GUESS I'M IN LOVE,120,Clinton Kane,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY,MOVE_UP,"263,916","15,406",18,18,56,131,-11,1,108,291389,1
Space Song,138,Beach House,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow,MOVE_UP,"248,135","12,774",82,58,117,143,-5,1,131,258108,1
Jocelyn Flores,158,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,SAME_POSITION,"230,771","7,218",1456,37,2,158,0,0,159,233520,1
Robbery,159,Juice WRLD,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,MOVE_DOWN,"230,625","5,151",914,914,2,156,3,-1,169,226884,1
Don't Go Yet,180,Camila Cabello,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad,MOVE_UP,"216,304","9,052",46,46,36,181,-1,1,179,219681,1
INDUSTRY BABY (feat. Jack Harlow),9,Lil Nas X,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,MOVE_DOWN,"1,362,632","-3,362",47,47,1,8,1,-1,7,1363186,1
Miss The Rage (feat. Playboi Carti),89,Trippie Redd,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ,MOVE_DOWN,"330,651","230,651",1,1,89,201,-112,1,86,335567,1
t r a n s p a r e n t s o u l feat. Travis Barker,93,WILLOW,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV,MOVE_UP,"317,497","19,262",54,54,21,97,-4,1,91,328166,1
Forever After All,138,Luke Combs,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew,MOVE_DOWN,"250,862","-14,007",319,256,2,119,19,-1,142,250878,1
Hats Off (feat. Travis Scott),187,"Lil Baby, Lil Durk",https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y,NEW_ENTRY,"213,504","113,504",92,1,20,201,-14,1,181,222136,1
Jail,31,Kanye West,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK,MOVE_DOWN,"657,423","-55,689",11,11,1,29,2,-1,31,603883,1
F*****g Fans,47,Drake,https://open.spotify.com/track/3RkNXZvOSMMElmmXztDc94,MOVE_DOWN,"508,282","-106,029",6,6,20,37,10,-1,51,434270,1
Martin & Gina,110,Polo G,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,MOVE_UP,"288,205","6,725",403,257,21,116,-6,1,108,293233,1
Come & Go (with Marshmello),115,Juice WRLD,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,MOVE_UP,"277,438","3,787",398,398,5,121,-6,1,115,276926,1
NOT SOBER (feat. Polo G & Stunna Gambino),162,The Kid LAROI,https://open.spotify.com/track/1JXBNvlDEl2epKSJ9EOgKX,MOVE_UP,"233,915","5,030",48,48,5,166,-4,1,163,234045,1
Whiskey Glasses,175,Morgan Wallen,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,MOVE_DOWN,"224,297","-1,403",880,257,53,172,3,-1,173,228388,1
Hats Off (feat. Travis Scott),181,"Lil Baby, Lil Durk",https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y,MOVE_UP,"222,136","8,632",93,2,20,187,-6,1,175,226367,1
Cold Heart - PNAU Remix,187,"Elton John, Dua Lipa",https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,MOVE_DOWN,"219,844","3,208",18,3,66,182,5,-1,186,223033,1
Misery Business,198,Paramore,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU,MOVE_DOWN,"210,946","-2,371",78,2,101,188,10,-1,201,100000,0
Need To Know,14,Doja Cat,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi,MOVE_UP,"913,564","-1,804",77,77,3,19,-5,1,17,940122,1
Sharing Locations (feat. Lil Baby & Lil Durk),49,Meek Mill,https://open.spotify.com/track/3J4VKkUpLvomXJbn9ZAypO,MOVE_UP,"478,207","2,135",14,14,10,51,-2,1,52,481759,1
HOT DEMON B!TCHES NEAR U ! ! !,57,"CORPSE, Night Lovell",https://open.spotify.com/track/7v4pPS4A7NgY7bxFA3Etv3,MOVE_DOWN,"400,375","-28,483",7,7,54,54,3,-1,88,371626,1
Leave The Door Open,77,"Bruno Mars, Anderson .Paak, Silk Sonic",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh,MOVE_UP,"344,446",621,189,189,2,83,-6,1,94,357352,1
Astronaut In The Ocean,118,Masked Wolf,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl,SAME_POSITION,"274,193",657,104,86,17,118,0,0,201,100000,0
Up,170,Cardi B,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi,SAME_POSITION,"229,977","1,879",212,212,2,170,0,0,189,246933,1
range brothers (with Kendrick Lamar),11,Baby Keem,https://open.spotify.com/track/0UTyLmkQgPOEIz95OVAJTR,NEW_ENTRY,"1,020,263","920,263",1,1,11,201,-190,1,20,714519,1
Bad Habits,25,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,MOVE_UP,"709,242","18,379",78,78,7,26,-1,1,21,676331,1
Pepas,32,Farruko,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,MOVE_UP,"624,573","61,258",49,49,16,38,-6,1,26,653468,1
Get Along Better,61,"Drake, Ty Dolla $ign",https://open.spotify.com/track/5ScbulRnixQ2XAdvrPMFjz,MOVE_DOWN,"440,239","-62,367",8,8,19,46,15,-1,67,367751,1
A-O-K,70,Tai Verdes,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP,MOVE_DOWN,"405,930","21,705",92,85,35,59,11,-1,57,399699,1
south africa,86,Baby Keem,https://open.spotify.com/track/7HyAAmp8lsDoDHxyvaEaDK,NEW_ENTRY,"372,589","272,589",1,1,86,201,-115,1,185,231717,1
Collard Greens,147,"ScHoolboy Q, Kendrick Lamar",https://open.spotify.com/track/0zO8ctW0UiuOefR87OeJOZ,MOVE_DOWN,"286,755","2,911",28,28,90,112,35,-1,134,268899,1
Lucid Dreams,166,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,MOVE_DOWN,"264,884","6,330",1005,1005,1,132,34,-1,126,275136,1
Bad Habits,21,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,MOVE_UP,"676,331","-32,911",79,79,7,25,-4,1,23,572434,1
Fancy Like,29,Walker Hayes,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE,MOVE_UP,"632,758","21,154",2,2,29,35,-6,1,26,538007,1
Watermelon Sugar,102,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,MOVE_UP,"300,396","-4,765",638,260,3,132,-30,1,105,265699,1
DÁKITI,110,"Bad Bunny, Jhay Cortez",https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,MOVE_UP,"291,388","2,154",289,289,1,145,-35,1,108,260636,1
cherry blossom,112,Kacey Musgraves,https://open.spotify.com/track/3PT3dmokgfqJSsZxv4Njw5,MOVE_DOWN,"288,590","-166,870",2,2,58,58,54,-1,177,207893,1
camera roll,152,Kacey Musgraves,https://open.spotify.com/track/58ITRjekhkYqHvuE71NUc0,MOVE_DOWN,"250,087","-121,727",2,2,87,87,65,-1,201,100000,0
Get Along Better,82,"Drake, Ty Dolla $ign",https://open.spotify.com/track/5ScbulRnixQ2XAdvrPMFjz,MOVE_DOWN,"297,678","-70,073",10,10,19,67,15,-1,82,319735,1
Calling My Phone,138,"Lil Tjay, 6LACK",https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE,MOVE_UP,"230,093","-16,267",164,164,5,161,-23,1,149,238394,1
Forever After All,139,Luke Combs,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew,MOVE_UP,"227,738","-28,744",324,261,2,142,-3,1,141,241639,1
Smells Like Teen Spirit,178,Nirvana,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf,MOVE_UP,"207,327","-20,617",67,65,93,192,-14,1,174,223777,1
Don't Stop Believin',198,Journey,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,MOVE_DOWN,"197,816","-37,179",288,2,98,178,20,-1,201,100000,0
Off The Grid,23,Kanye West,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs,MOVE_UP,"618,547","54,787",16,16,2,25,-2,1,24,600128,1
range brothers (with Kendrick Lamar),29,Baby Keem,https://open.spotify.com/track/0UTyLmkQgPOEIz95OVAJTR,MOVE_UP,"553,249","31,498",4,4,11,32,-3,1,37,484071,1
deja vu,40,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,SAME_POSITION,"471,950","36,646",116,116,2,40,0,0,39,476108,1
Pain,67,PinkPantheress,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO,MOVE_DOWN,"340,076","8,599",74,74,41,62,5,-1,72,333141,1
Good Days,92,SZA,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A,MOVE_UP,"300,459","26,857",263,263,1,95,-3,1,89,304089,1
20 Min,114,Lil Uzi Vert,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng,SAME_POSITION,"265,463","15,456",559,262,83,114,0,0,107,276803,1
Heaven and Hell,152,Kanye West,https://open.spotify.com/track/2ZUJsR8HEktit58X6FuPQM,MOVE_UP,"236,748","19,190",16,16,10,161,-9,1,172,225375,1
Like I Can,163,Sam Smith,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq,MOVE_UP,"231,027","27,722",20,2,106,184,-21,1,158,234967,1
cherry blossom,167,Kacey Musgraves,https://open.spotify.com/track/3PT3dmokgfqJSsZxv4Njw5,MOVE_UP,"229,501","21,608",4,4,58,177,-10,1,188,217222,1
I WANNA BE YOUR SLAVE,180,Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,MOVE_DOWN,"219,338","8,438",84,2,43,172,8,-1,178,220536,1
Ok Ok,183,Kanye West,https://open.spotify.com/track/4VYEnxm7lmtG5sEEbcmORB,MOVE_DOWN,"217,954","13,375",15,15,3,182,1,-1,201,100000,0
The Less I Know The Better,185,Tame Impala,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,MOVE_UP,"215,809","13,993",699,2,103,188,-3,1,175,222435,1
The Way Life Goes (feat. Oh Wonder),198,Lil Uzi Vert,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc,NEW_ENTRY,"209,796","109,796",556,1,4,201,-3,1,190,216407,1
Heat Waves,7,Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,SAME_POSITION,"1,154,287","4,524",288,263,7,7,0,0,6,1148775,1
Woman,15,Doja Cat,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,MOVE_UP,"740,706","32,285",82,82,12,18,-3,1,15,741471,1
Wants and Needs (feat. Lil Baby),40,Drake,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b,MOVE_UP,"468,410","9,254",194,194,2,41,-1,1,38,474069,1
Yonaguni,61,Bad Bunny,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,MOVE_UP,"349,447","3,980",103,103,3,64,-3,1,57,365362,1
Praise God,64,Kanye West,https://open.spotify.com/track/0Zm7NKJgoKY6ZWwtoEUILK,MOVE_DOWN,"345,537","-10,785",17,17,6,58,6,-1,72,332521,1
You Only Live Twice (with Lil Wayne & Rick Ross),68,Drake,https://open.spotify.com/track/50ceCGZ3oD3U5caQV5bP6f,MOVE_DOWN,"339,708","-16,138",12,12,16,59,9,-1,78,322319,1
Loverboy,70,A-Wall,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP,MOVE_UP,"337,265","5,085",18,18,61,74,-4,1,68,341032,1
Volví,95,"Aventura, Bad Bunny",https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi,SAME_POSITION,"300,868","2,165",43,43,5,95,0,0,90,306497,1
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),103,DJ Khaled,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz,MOVE_UP,"282,943","5,119",138,138,18,105,-2,1,102,285648,1
Cold Heart - PNAU Remix,123,"Elton John, Dua Lipa",https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,MOVE_UP,"261,596","10,979",24,9,66,131,-8,1,127,262396,1
"Lemonade (feat. Gunna, Don Toliver & NAV)",140,Internet Money,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,MOVE_UP,"246,361","8,807",362,362,1,151,-11,1,136,252582,1
good wife,164,Kacey Musgraves,https://open.spotify.com/track/64PsLB0bc1LJoZwogWO3ok,MOVE_DOWN,"232,111","-10,191",5,5,54,140,24,-1,201,100000,0
Chasing After You (with Maren Morris),182,Ryan Hurd,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI,MOVE_DOWN,"219,571",-121,88,2,103,179,3,-1,181,221439,1
Blue Notes 2 (feat. Lil Uzi Vert),183,Meek Mill,https://open.spotify.com/track/488HG8lR11JswT2YgcWGRB,MOVE_DOWN,"219,499","-4,788",14,14,50,173,10,-1,187,216825,1
Remote Control,191,Kanye West,https://open.spotify.com/track/3SYLoL8KHxdQPYIkfwmUjN,MOVE_DOWN,"216,172","-11,469",17,17,12,168,23,-1,201,100000,0
INDUSTRY BABY (feat. Jack Harlow),4,Lil Nas X,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,SAME_POSITION,"1,415,811","34,326",55,55,1,4,0,0,4,1468597,1
Champagne Poetry,13,Drake,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk,MOVE_DOWN,"788,151","-45,764",13,13,2,12,1,-1,14,766395,1
Jugaste y Sufrí,42,"Eslabon Armado, DannyLux",https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4,MOVE_UP,"427,927","17,617",28,28,42,47,-5,1,43,429298,1
Lonely (with Lil Wayne),45,DaBaby,https://open.spotify.com/track/6pmNoWKk0r6zfIjWneJRxR,MOVE_UP,"420,094","18,754",7,7,33,50,-5,1,39,450015,1
Have Mercy,52,Chlöe,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg,MOVE_UP,"385,059","3,365",6,6,50,53,-1,1,48,396927,1
my ex's best friend (with blackbear),64,Machine Gun Kelly,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl,MOVE_DOWN,"347,801","1,708",355,264,9,63,1,-1,64,346782,1
Pain,70,PinkPantheress,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO,MOVE_UP,"339,032","5,891",76,76,41,72,-2,1,68,342622,1
Good Days,85,SZA,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A,MOVE_UP,"311,073","6,984",265,265,1,89,-4,1,90,311556,1
Martin & Gina,93,Polo G,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,MOVE_UP,"304,312","7,415",410,264,21,96,-3,1,92,309892,1
DÁKITI,115,"Bad Bunny, Jhay Cortez",https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,MOVE_UP,"273,645","8,526",293,293,1,118,-3,1,111,276051,1
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),117,"Tyler, The Creator",https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC,MOVE_DOWN,"270,715","3,392",83,83,1,116,1,-1,120,271185,1
Cold Heart - PNAU Remix,127,"Elton John, Dua Lipa",https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,MOVE_DOWN,"262,396",800,25,10,66,123,4,-1,129,263781,1
Hats Off (feat. Travis Scott),151,"Lil Baby, Lil Durk",https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y,MOVE_UP,"242,200","5,125",98,4,20,155,-4,1,156,242680,1
you broke me first,164,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,MOVE_UP,"232,711","2,526",417,3,16,166,-2,1,165,235530,1
Before You Go,173,Lewis Capaldi,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,MOVE_UP,"224,271","1,989",626,3,39,176,-3,1,170,230263,1
Heartless,179,Kanye West,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,MOVE_UP,"222,686","5,391",38,3,107,187,-8,1,175,226381,1
What You Know Bout Love,182,Pop Smoke,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,MOVE_UP,"220,746","5,262",388,5,5,193,-11,1,180,223721,1
edamame (feat. Rich Brian),184,bbno$,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV,MOVE_UP,"218,345","2,650",6,3,184,192,-8,1,182,222517,1
No Friends In The Industry,22,Drake,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6,MOVE_DOWN,"649,133","-22,779",14,14,8,20,2,-1,36,648545,1
range brothers (with Kendrick Lamar),41,Baby Keem,https://open.spotify.com/track/0UTyLmkQgPOEIz95OVAJTR,MOVE_DOWN,"441,270","-16,294",7,7,11,39,2,-1,62,417313,1
Leave The Door Open,71,"Bruno Mars, Anderson .Paak, Silk Sonic",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh,MOVE_DOWN,"338,806",-799,196,196,2,69,2,-1,81,349621,1
t r a n s p a r e n t s o u l feat. Travis Barker,73,WILLOW,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV,MOVE_DOWN,"337,241",-853,63,63,21,71,2,-1,89,337560,1
Todo De Ti,78,Rauw Alejandro,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9,MOVE_DOWN,"330,084","-2,174",84,84,14,73,5,-1,100,324542,1
Sunflower - Spider-Man: Into the Spider-Verse,79,"Post Malone, Swae Lee",https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,MOVE_UP,"321,796","9,895",731,265,5,83,-4,1,97,329215,1
Buy Dirt,83,"Jordan Davis, Luke Bryan",https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60,MOVE_UP,"318,432","8,525",38,36,83,86,-3,1,126,289617,1
Leave Before You Love Me (with Jonas Brothers),85,Marshmello,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1,MOVE_DOWN,"316,007","3,691",116,115,43,82,3,-1,86,342769,1
Paralyzed,97,Sueco,https://open.spotify.com/track/5svL1PkWw8hPEAOdTNLexy,MOVE_DOWN,"300,889","-3,115",35,35,33,94,3,-1,114,307629,1
breadwinner,99,Kacey Musgraves,https://open.spotify.com/track/2stbjvpFujerfDUuUUPX7o,MOVE_UP,"295,323","12,946",7,7,68,107,-8,1,95,330999,1
All Girls Are The Same,106,Juice WRLD,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,MOVE_UP,"284,917","4,664",1005,649,5,109,-3,1,125,290792,1
Robbery,158,Juice WRLD,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,MOVE_DOWN,"241,584","4,489",923,6,2,157,1,-1,174,246550,1
Lil Bit (feat. Florida Georgia Line),159,Nelly,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN,MOVE_DOWN,"240,868","4,100",21,21,48,158,1,-1,201,100000,0
Heartless,175,Kanye West,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,MOVE_UP,"226,381","3,695",39,4,107,179,-4,1,193,235144,1
Blueberry Faygo,186,Lil Mosey,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,MOVE_UP,"219,437","6,609",567,2,2,194,-8,1,201,100000,0
No Friends In The Industry,36,Drake,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6,MOVE_DOWN,"648,545",-588,15,15,8,22,14,-1,34,587840,1
Ain't Shit,46,Doja Cat,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm,MOVE_DOWN,"504,112","16,607",85,85,4,33,13,-1,45,478447,1
Wants and Needs (feat. Lil Baby),48,Drake,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b,MOVE_DOWN,"495,148","20,533",197,197,2,37,11,-1,47,464505,1
Sweater Weather,61,The Neighbourhood,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,MOVE_DOWN,"422,867","1,351",390,377,18,45,16,-1,58,399047,1
Rumors (feat. Cardi B),78,Lizzo,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s,MOVE_DOWN,"353,149","18,286",36,36,3,75,3,-1,72,345666,1
Heartbreak Anniversary,85,Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,MOVE_DOWN,"344,614","-9,701",224,224,8,59,26,-1,96,307428,1
breadwinner,95,Kacey Musgraves,https://open.spotify.com/track/2stbjvpFujerfDUuUUPX7o,MOVE_UP,"330,999","35,676",8,8,68,99,-4,1,122,274194,1
Cold Heart - PNAU Remix,101,"Elton John, Dua Lipa",https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,MOVE_UP,"324,510","60,729",27,12,66,129,-28,1,75,340711,1
Believe What I Say,147,Kanye West,https://open.spotify.com/track/73uxnSsFMeJ15POpd3zgrV,MOVE_DOWN,"269,848","-2,441",20,20,7,118,29,-1,156,242219,1
Over The Top (feat. Drake),173,Smiley,https://open.spotify.com/track/3yaYgjEFkRw3PVjW9mV1TO,MOVE_DOWN,"246,886",-231,57,57,16,150,23,-1,188,226457,1
Whiskey Glasses,177,Morgan Wallen,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,MOVE_DOWN,"246,001","15,915",889,266,53,171,6,-1,147,247337,1
Woman,17,Doja Cat,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,MOVE_UP,"826,539","10,199",86,86,12,25,-8,1,14,745997,1
Levitating (feat. DaBaby),32,Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,MOVE_UP,"604,849","17,724",316,267,3,40,-8,1,30,532247,1
Happier Than Ever,33,Billie Eilish,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,MOVE_UP,"601,019","-82,047",51,51,3,34,-1,1,25,583259,1
Paralyzed,123,Sueco,https://open.spotify.com/track/5svL1PkWw8hPEAOdTNLexy,MOVE_DOWN,"272,816","-34,813",37,37,33,114,9,-1,135,232879,1
WITHOUT YOU,149,The Kid LAROI,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA,MOVE_UP,"246,555","-13,074",310,294,6,160,-11,1,150,226831,1
Money Trees,173,"Kendrick Lamar, Jay Rock",https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,MOVE_DOWN,"231,990","-28,191",269,35,84,159,14,-1,165,214320,1
Someone You Loved,191,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,MOVE_DOWN,"224,711","-24,130",852,7,5,171,20,-1,172,210930,1
Get Into It (Yuh),31,Doja Cat,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb,MOVE_UP,"527,866","-59,358",87,87,16,35,-4,1,34,519790,1
Dark Red,34,Steve Lacy,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk,MOVE_UP,"498,929","-11,549",48,48,28,41,-7,1,31,546511,1
DONT WANT IT,44,Lil Nas X,https://open.spotify.com/track/4vsJWPwWPS27gRM4oLjBNO,MOVE_DOWN,"428,808","-131,276",3,3,27,38,6,-1,41,467212,1
Papi’s Home,63,Drake,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX,MOVE_DOWN,"341,853","-73,027",17,17,4,56,7,-1,62,357721,1
brutal,77,Olivia Rodrigo,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC,MOVE_UP,"303,221","-10,833",122,122,2,93,-16,1,85,310111,1
Volví,88,"Aventura, Bad Bunny",https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi,MOVE_DOWN,"290,193","-43,301",48,48,5,80,8,-1,100,291874,1
Todo De Ti,98,Rauw Alejandro,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9,MOVE_DOWN,"279,445","-37,557",87,87,14,90,8,-1,106,280768,1
REPEAT IT (with Gunna),100,Lil Tecca,https://open.spotify.com/track/4s6vwFgPdCtidpEw8KuQT6,MOVE_DOWN,"275,740","-42,018",24,24,28,89,11,-1,82,311889,1
Daddy Issues,127,The Neighbourhood,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,MOVE_UP,"243,439","4,549",368,268,50,162,-35,1,111,270921,1
Everybody Talks,143,Neon Trees,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq,MOVE_UP,"229,578","-10,113",204,9,114,161,-18,1,155,233257,1
Whiskey Glasses,158,Morgan Wallen,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,MOVE_DOWN,"220,233","-27,104",891,268,53,147,11,-1,184,215718,1
You Only Live Twice (with Lil Wayne & Rick Ross),161,Drake,https://open.spotify.com/track/50ceCGZ3oD3U5caQV5bP6f,MOVE_DOWN,"218,717","-49,147",17,17,16,124,37,-1,158,231097,1
What You Know Bout Love,169,Pop Smoke,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,MOVE_UP,"211,528","-21,176",391,2,5,171,-2,1,197,211143,1
LALISA,183,LISA,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6,MOVE_UP,"203,085","-18,776",8,2,84,195,-12,1,189,214118,1
DOLLA SIGN SLIME (feat. Megan Thee Stallion),20,Lil Nas X,https://open.spotify.com/track/7zQirOExB0VR8yWUOqYeio,SAME_POSITION,"685,944","21,670",4,4,9,20,0,0,25,595504,1
