Title,Rank,Artist,URL,Trend,Streams,Streams increase since last release,Weeks in top 200,Consecutive weeks in top 200,Best rank,Prior rank,Rank change,Up or down,Song rank in next top 200 release,Streams in next release,In next release
DNA.,68,Kendrick Lamar,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj,MOVE_UP,"312,782","-41,682",273,273,2,69,-1,1,73,317784,1
Designer,76,Lil Pump,https://open.spotify.com/track/1LXbv9jiTtdBdHadZ317Gt,MOVE_DOWN,"289,166","-55,535",6,6,60,72,4,-1,79,300200,1
The Weekend,102,SZA,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57,MOVE_UP,"243,714","-19,637",193,175,75,107,-5,1,98,253447,1
The Race,115,Tay-K,https://open.spotify.com/track/3wGXyJGsCf1myH5MooQIqE,MOVE_UP,"229,012","-20,216",32,32,96,119,-4,1,130,228259,1
My My My!,23,Troye Sivan,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO,MOVE_UP,"578,130","28,341",5,5,13,25,-2,1,24,602286,1
IDGAF,37,Dua Lipa,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,MOVE_UP,"495,943","34,827",20,20,37,41,-4,1,34,560935,1
Location,49,Khalid,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,MOVE_UP,"428,878","35,295",376,376,9,50,-1,1,48,443772,1
Wanted You (feat. Lil Uzi Vert),52,NAV,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1,SAME_POSITION,"411,749","24,145",66,66,23,52,0,0,50,437019,1
The Way Life Goes (feat. Oh Wonder),55,Lil Uzi Vert,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc,MOVE_DOWN,"387,335","10,625",144,144,4,54,1,-1,57,405018,1
Shape of You,68,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,MOVE_DOWN,"339,071","15,932",372,372,1,66,2,-1,73,334664,1
The Weekend,98,SZA,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57,MOVE_UP,"253,447","9,733",194,176,75,102,-4,1,115,250423,1
T-Shirt,158,Migos,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7,MOVE_DOWN,"200,344","1,776",363,21,6,144,14,-1,161,205980,1
Yours,159,Russell Dickerson,https://open.spotify.com/track/6RSNKGdv3nDTHqgw4bdzyF,NEW_ENTRY,"200,275","100,275",25,1,154,201,-42,1,162,204608,1
Bartier Cardi (feat. 21 Savage),7,Cardi B,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT,SAME_POSITION,"897,708","38,410",26,26,3,7,0,0,7,892510,1
Candy Paint,15,Post Malone,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf,MOVE_UP,"668,919","29,313",85,85,4,16,-1,1,15,674802,1
Stir Fry,22,Migos,https://open.spotify.com/track/4fndbjoz1qJyK6JcLdKfzm,MOVE_UP,"610,133","64,001",26,26,22,32,-10,1,21,618181,1
What Lovers Do (feat. SZA),44,Maroon 5,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,MOVE_DOWN,"478,313","9,095",72,72,7,42,2,-1,43,480995,1
Roll in Peace (feat. XXXTENTACION),46,Kodak Black,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,MOVE_UP,"460,432","24,756",152,152,22,47,-1,1,45,474074,1
